年份	一	二	三	四	五	六	七	八	九	十
2008	山寨	雷	囧	和	不抛弃不放弃	口红效应	拐点	宅男宅女	不折腾	非诚勿扰
2009	不差钱	躲猫猫	低碳	被就业	裸	纠结	钓鱼	秒杀	蜗居	蚁族
2010	给力	神马都是浮云	围脖	围观	二代	拼爹	控	帝	达人	穿越
2011	亲	伤不起	hold住	我反正信了	坑爹	卖萌	吐槽	气场	悲催	忐忑
2012	正能量	元芳，你怎么看？	舌尖上	躺着也中枪	高富帅	中国式	压力山大	赞	最美	接地气
2013	中国梦	光盘	倒逼	逆袭	微××	大V	女汉子	土豪	奇葩	点赞
2014	顶层设计	新常态	打虎拍蝇	断崖式	你懂的	断舍离	失联	神器	高大上	萌萌哒
2015	获得感	互联网+	颜值	宝宝	创客	脑洞大开	任性	剁手党	网红	主要看气质
2016	洪荒之力	吃瓜群众	工匠精神	小目标	一言不合就××	友谊的小船，说翻就翻	供给侧	葛优躺	套路	蓝瘦，香菇
2017	不忘初心	砥砺奋进	共享	有温度	流量	可能×××假×××	油腻	尬	怼	打call
2018	命运共同体	锦鲤	店小二	教科书式	官宣	确认过眼神	退群	佛系	巨婴	杠精
2019	文明互鉴	区块链	硬核	融梗	××千万条，××第一条	柠檬精	996	我太难／南了	我不要你觉得，我要我觉得	霸凌主义
2020	人民至上，生命至上	逆行者	飒	后浪	神兽	直播带货	双循环	打工人	内卷	凡尔赛文学
2021	百年未有之大变局	小康	赶考	双减	碳达峰，碳中和	野性消费	破防	鸡娃	躺平	元宇宙
2022	踔厉奋发、勇毅前行	中国式现代化	新赛道	大白	烟火气	天花板	拿捏	雪糕刺客	精神内耗	沉浸式
2023	新质生产力	双向奔赴	人工智能大模型	村超	特种兵式旅游	显眼包	搭子	多巴胺××	情绪价值	质疑××，理解××，成为××
2024	数智化	智能向善	未来产业	city不city	硬控	水灵灵地×××	班味	松弛感	银发力量	小孩哥／小孩姐
2025	韧性	具身智能	苏超	赛博对账	数字游民	谷子	预制××	活人感	××基础，××不基础	从从容容、游刃有余，匆匆忙忙、连滚带爬
